NOME_COMERCIAL,NOME_GENERICO,FABRICANTE,TIPO_PRODUTO
ETODOLAC,Etodolac,"ADVANCED RX OF TENNESSEE, LLC",MEDICAMENTO SOB PRESCRIÇÃO
MYHEALTH MOOD CARE SPORT UNISSEX,Aluminum sesquichlorohydrate,AEROFLEX INDUSTRIA DE AEROSOL LTDA,MEDICAMENTO ISENTO DE PRESCRIÇÃO
IOHEXOL,Iohexol,AMNEAL PHARMACEUTICALS PRIVATE LIMITED,MEDICAMENTO SOB PRESCRIÇÃO
LE MIEUX NAKED GLOW BRONZER SPF 50,Sunscreen,YB CHEMIA LLC,MEDICAMENTO ISENTO DE PRESCRIÇÃO
PIOGLITAZONE HYDROCHLORIDE,PIOGLITAZONE HYDROCHLORIDE,"UNICHEM PHARMACEUTICALS (USA), INC.",MEDICAMENTO SOB PRESCRIÇÃO
CEFDINIR,Cefdinir,"ASCLEMED USA, INC.",MEDICAMENTO SOB PRESCRIÇÃO
CELECOXIB,Celecoxib,"ASCLEMED USA, INC.",MEDICAMENTO SOB PRESCRIÇÃO
BELLADONNA,ATROPA BELLADONNA,SEVENE USA,MEDICAMENTO ISENTO DE PRESCRIÇÃO
GEMACHLICH ZUHAUSE FUNGAL NAIL REVITALIZER,Gemachlich ZuHause Fungal Nail Revitalizer,"GUANGDONG QUADRANT ECOLOGICAL TECHNOLOGY CO., LTD.",MEDICAMENTO ISENTO DE PRESCRIÇÃO
VYTORIN,ezetimibe and simvastatin,ORGANON LLC,MEDICAMENTO SOB PRESCRIÇÃO
ATENOLOL AND CHLORTHALIDONE,Atenolol and Chlorthalidone,"ACTAVIS PHARMA, INC.",MEDICAMENTO SOB PRESCRIÇÃO
SPIRIVA RESPIMAT,tiotropium bromide inhalation spray,"BOEHRINGER INGELHEIM PHARMACEUTICALS, INC.",MEDICAMENTO SOB PRESCRIÇÃO
CYLTEZO,adalimumab-adbm,"BOEHRINGER INGELHEIM PHARMACEUTICALS, INC.",MEDICAMENTO SOB PRESCRIÇÃO
EQUATE,Bacitracin Zinc Antibiotic Ointment,WALMART INC.,MEDICAMENTO ISENTO DE PRESCRIÇÃO
PREGABALIN,Pregabalin,"ADVANCED RX OF TENNESSEE, LLC",MEDICAMENTO SOB PRESCRIÇÃO
VENLAFAXINE HYDROCHLORIDE ER,Venlafaxine hydrochloride,"ADVANCED RX PHARMACY OF TENNESSEE, LLC",MEDICAMENTO SOB PRESCRIÇÃO
EYES ALIVE LUBRICATING,"CARBOXYMETHYLCELLULOSE SODIUM, UNSPECIFIED",RIVIERA PHARMA INC,MEDICAMENTO ISENTO DE PRESCRIÇÃO
NALOXONE HYDROCHLORIDE,Naloxone Hydrochloride,HIKMA PHARMACEUTICALS USA INC.,MEDICAMENTO SOB PRESCRIÇÃO
INDE WILD SUN DEFENSE SPF 50 SUNSCREEN GLOW DROPS BROAD SPECTRUM,inde wild SUN DEFENSE GLOW DROPS,INDE WILD PRIVATE LIMITED,MEDICAMENTO ISENTO DE PRESCRIÇÃO
NEOSTIGMINE METHYLSULFATE,Neostigmine Methylsulfate,HIKMA PHARMACEUTICALS USA INC.,MEDICAMENTO SOB PRESCRIÇÃO
OXYGEN,Oxygen,AT HOME HEALTH EQUIPMENT,MEDICAMENTO SOB PRESCRIÇÃO
COLD SORE TREATMENT,Docosanol,FSA STORE INC. (CARING MILLS),MEDICAMENTO ISENTO DE PRESCRIÇÃO
DERMAN ANTIFUNGAL CREAM,TOLNAFTATE,TAISHO PHARMACEUTICAL CALIFORNIA INC.,MEDICAMENTO ISENTO DE PRESCRIÇÃO
INSTANT WHITENING,Instant Whitening Toothpaste,"GUANGZHOU CITY CAIYE COSMETICS CO., LTD",MEDICAMENTO ISENTO DE PRESCRIÇÃO
TARGET UP AND UP SPF 50 MINERAL ZINC OXIDE SUNSCREEN,Zinc Oxide,TARGET CORPORATION,MEDICAMENTO ISENTO DE PRESCRIÇÃO
HYDROCORTISONE ACETATE,Hydrocortisone Acetate,AARNA USA INC.,MEDICAMENTO SOB PRESCRIÇÃO
RIGHT GUARD XTREME DEFENSE ANTIPERSPIRANT DEODORANT INVISIBLE SOLID ARCTIC REFRESH,Right Guard Xtreme Defense Antiperspirant Deodorant Invisible Solid Arctic Refresh,THRIVING BRANDS LLC,MEDICAMENTO ISENTO DE PRESCRIÇÃO
TACROLIMUS,Tacrolimus,PROFICIENT RX LP,MEDICAMENTO SOB PRESCRIÇÃO
PHENYTOIN SODIUM,Phenytoin Sodium,PROFICIENT RX LP,MEDICAMENTO SOB PRESCRIÇÃO
BATH BOMB 2-PACK (LAVENDER),Allantoin,CAROLINA CANNABIS CREATIONS LLC,MEDICAMENTO ISENTO DE PRESCRIÇÃO
BM KALI PHOS,Kali Phosphoricum,TOTAL OPERATIONS MANAGEMENT LLC DBA:BESTMADE NATURAL PRODUCTS MICRO,MEDICAMENTO ISENTO DE PRESCRIÇÃO
BESTMADE NATURAL PRODUCTS BM233,"Aconite, Belladonna, Drosera, Ipecac, Mephitis, Thymus, Verat alb",BESTMADE NATURAL PRODUCTS,MEDICAMENTO ISENTO DE PRESCRIÇÃO
BESTMADE NATURAL PRODUCTS BM133 PELLETS,"Silicea, Carbo Veg, Aurum Mur, Thuja Occ, Acid Nit, Ferrum Iod",BESTMADE NATURAL PRODUCTS,MEDICAMENTO ISENTO DE PRESCRIÇÃO
FLOBOW WART REMOVER,Salicylic acid 17% WART REMOVER,"JIANGXI YUDEXI PHARMACEUTICAL CO., LTD",MEDICAMENTO ISENTO DE PRESCRIÇÃO
TRZSFR 5% MINOXIDIL HAIR GROWTH SPRAYS SERUM,Minoxidil,"GUANGZHOU BORDERLESS TECHNOLOGY CO., LTD.",MEDICAMENTO ISENTO DE PRESCRIÇÃO
VABRINTY,Leuprolide acetate,"URONOVA PHARMACEUTICALS, INC.",MEDICAMENTO SOB PRESCRIÇÃO
HAIR BEARDGROWTH FOAM,Minoxidil,"SHENZHEN XUEMIN E-COMMERCE CO., LTD.",MEDICAMENTO ISENTO DE PRESCRIÇÃO
QUALITY CHOICE MAXIMUM STRENGTH URINARY PAIN RELIEF,PHENAZOPYRIDINE HYDROCHLORIDE,CHAIN DRUG MARKETING ASSOCIATION,MEDICAMENTO ISENTO DE PRESCRIÇÃO
CHILDRENS IBUPROFEN ORAL SUSPENSION ORIGINAL BERRY FLAVOR,IBUPROFEN,PURO PHARMA INC.,MEDICAMENTO ISENTO DE PRESCRIÇÃO
CYCLOPHOSPHAMIDE,cyclophosphamide,"AVENACY, LLC",MEDICAMENTO SOB PRESCRIÇÃO
"AVOBENZONE,OCTINOXATE,OCTISALATE,OCTOCRYLENE",Chop Saver Fresh Citrus SPF 15 Lip Balm,"GOOD FOR THE GOOSE PRODUCTS, LLC",MEDICAMENTO ISENTO DE PRESCRIÇÃO
BUPIVACAINE HYDROCHLORIDE,Bupivacaine Hydrochloride,ANTHEA PHARMA PRIVATE LIMITED,MEDICAMENTO SOB PRESCRIÇÃO
BLISS REPUBLIC,Lidocaine Numbing Extra Strength Cream,SARGASS GROUP LIMITED LIABILITY COMPANY,MEDICAMENTO ISENTO DE PRESCRIÇÃO
SECRET CLINICAL INVISIBLE SOLID COULDNT BE LOVELIER,Aluminum Zirconium Tetrachlorohydrex Gly,THE PROCTER & GAMBLE MANUFACTURING COMPANY,MEDICAMENTO ISENTO DE PRESCRIÇÃO
CREST 3D WHITE DEEP STAIN REMOVER ENAMEL STRENGTH,Sodium monofluorophosphate,THE PROCTER & GAMBLE MANUFACTURING COMPANY,MEDICAMENTO ISENTO DE PRESCRIÇÃO
FIRST AID ANTISEPTIC PAIN RELIEVING BENZALKONIUM CHLORIDE LIDOCAINE HYDROCHLORIDE,"BENZALKONIUM CHLORIDE, LIDOCAINE HYDROCHLORIDE","M-STAR (HUBEI) HEALTH&CARE PRODUCTS CO., LTD.",MEDICAMENTO ISENTO DE PRESCRIÇÃO
CINACALCET,Cinacalcet,AUROBINDO PHARMA LIMITED,MEDICAMENTO SOB PRESCRIÇÃO
AVANCE NERVE GRAFT,Processed nerve allograft,AXOGEN CORPORATION,MEDICAMENTO SOB PRESCRIÇÃO
SKY AND SOL FACE AND BODY SUNSCREEN SPF 30,Zinc Oxide,DELTA ECOMMERCE LLC,MEDICAMENTO ISENTO DE PRESCRIÇÃO
TYSON 2.0 MIKE RED EYE DROPS FOR DRY HIGH EYES,"Glycerin, Naphazoline HCl",JBRANDS PHARMA L.L.C.,MEDICAMENTO ISENTO DE PRESCRIÇÃO
TAGRID ATHLETES FOOT TREAMENT,Tolnaftate,TAGRID LLC,MEDICAMENTO ISENTO DE PRESCRIÇÃO
SERUM LIGHTLY TINTED,Zinc Oxide,PANDA PAMPERING LLC,MEDICAMENTO ISENTO DE PRESCRIÇÃO
MINT CONDITION,Zinc Oxide,MINT SKIN INCORPORATED,MEDICAMENTO ISENTO DE PRESCRIÇÃO
SHEER MINERAL FACE AND BODY SUNSCREEN NON TINTED,Zinc Oxide,"LAURA CATHERINE, LLC",MEDICAMENTO ISENTO DE PRESCRIÇÃO
ANDIAMO LAKE COMO HYDRA-MIST REFILLABLE HAND SANITIZER,ALCOHOL,ANDIAMO LLC,MEDICAMENTO ISENTO DE PRESCRIÇÃO
BAREMINERALS BAREPRO 24HR WEAR SKIN-PERFECTING MATTE LIQUID FOUNDATION MEDIUM 30 NEUTRAL,ZINC OXIDE,ORVEON GLOBAL US LLC,MEDICAMENTO ISENTO DE PRESCRIÇÃO
RADICAL RESCUE MORNING UVA/UVB DEFENSE PRIMER BROAD SPECTRUM SPF 30 UNIVERSAL TINT MINERAL SUNSCREEN,Radical Rescue SPF 30 Mineral Sunscreen,"PROTRANSIT, INC.",MEDICAMENTO ISENTO DE PRESCRIÇÃO
MINOXIDIL HAIR GROWTH SERUM,Minoxidil,"SHENZHEN DESHIJIAN MEDICAL EQUIPMENT CO., LTD",MEDICAMENTO ISENTO DE PRESCRIÇÃO
FLUPHENAZINE HYDROCHLORIDE,Fluphenazine Hydrochloride,"UPSHER-SMITH LABORATORIES,LLC",MEDICAMENTO SOB PRESCRIÇÃO
PANZYGA,immune globulin intravenous (human),PFIZER LABORATORIES DIV PFIZER INC,PLASMA DERIVATIVE
"AVOBENZONE, HOMOSALATE, OCTISALATE","Avobenzone, Homosalate, Octisalate","VI-JON, LLC",MEDICAMENTO ISENTO DE PRESCRIÇÃO
ALCOHOL FREE HAND SANITIZER,BENZALKONIUM CHLORIDE,"HAIAN KANGRUI TEXTILE CO., LTD.",MEDICAMENTO ISENTO DE PRESCRIÇÃO
SUNSCREEN,TITANIUM DIOXIDE(NANO),"MINGYU (GUANGDONG) COSMETICS TECHNOLOGY CO., LTD",MEDICAMENTO ISENTO DE PRESCRIÇÃO
ARNIES MINERAL SUNSCREEN - BROAD SPECTRUM SPF 50 WITH ZINC OXIDE,Zinc oxide,GIMMIE BOTANICALS LLC,MEDICAMENTO ISENTO DE PRESCRIÇÃO
WART REMOVER PATCHES,wart remover patches,"SHENZHEN HENGDASHENG TECHNOLOGY CO., LTD",MEDICAMENTO ISENTO DE PRESCRIÇÃO
QUETIAPINE FUMARATE,quetiapine,"UNIT DOSE SOLUTIONS, INC.",MEDICAMENTO SOB PRESCRIÇÃO
THIAMINE HYDROCHLORIDE,Thiamine Hydrochloride,EUGIA US LLC,MEDICAMENTO SOB PRESCRIÇÃO
ALLOPURINOL,Allopurinol,"CARDINAL HEALTH 107, LLC",MEDICAMENTO SOB PRESCRIÇÃO
FLUDROCORTISONE ACETATE,Fludrocortisone Acetate,"CARDINAL HEALTH 107, LLC",MEDICAMENTO SOB PRESCRIÇÃO
CYSTADROPS,cysteamine hydrochloride,"RECORDATI RARE DISEASES, INC.",MEDICAMENTO SOB PRESCRIÇÃO
DETROL,tolterodine tartrate,VIATRIS SPECIALTY LLC,MEDICAMENTO SOB PRESCRIÇÃO
MOUNJARO KWIKPEN,tirzepatide,ELI LILLY AND COMPANY,MEDICAMENTO SOB PRESCRIÇÃO
LISDEXAMFETAMINE DIMESYLATE,LISDEXAMFETAMINE DIMESYLATE,"SUN PHARMACEUTICAL INDUSTRIES, INC.",MEDICAMENTO SOB PRESCRIÇÃO
SECALE CORNUTUM,CLAVICEPS PURPUREA SCLEROTIUM,BOIRON,MEDICAMENTO ISENTO DE PRESCRIÇÃO
MEDICATED CORN REMOVERS,Salicylic acid,"FAMILY DOLLAR SERVICES, INC",MEDICAMENTO ISENTO DE PRESCRIÇÃO
BKEMV,eculizumab-aeeb,AMGEN INC,MEDICAMENTO SOB PRESCRIÇÃO
CELECOXIB,celecoxib,QUALITY CARE PRODUCTS LLC,MEDICAMENTO SOB PRESCRIÇÃO
DRAINER,"Cynara scolymus, Solidago virgaurea, Taraxacum officinale, Benzoicum acidum, Berberis vulgaris, Bryonia, Cantharis, Carduus benedictus, Carduus marianus, Ceanothus americanus, Chelidonium majus, Chionanthus virginica, Cinchona officinalis, Dioscorea villosa, Dolichos pruriens, Iris versicolor, Juniperus communis, Nux vomica, Ptelea trifoliata, Taraxacum officinale, Uricum.","NEWTON LABORATORIES, INC.",MEDICAMENTO ISENTO DE PRESCRIÇÃO
